REGIAO:;CO
UF:;GO
ESTACAO:;MORRINHOS
CODIGO (WMO):;A003
LATITUDE:;-17,74499999
LONGITUDE:;-49,10166666
ALTITUDE:;751,09
DATA DE FUNDACAO:;25/05/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;927,8;927,8;927,2;;23,9;19,8;25,7;23,9;20,1;19,2;78;71;78;218;3;,7;
2024/01/01;0100 UTC;0;928,7;928,7;927,8;,4;23,6;20;23,9;23,6;20,2;19,8;80;78;80;136;2;0;
2024/01/01;0200 UTC;0;929,5;929,5;928,7;,1;23,2;20,1;23,6;23,1;20,2;19,9;83;80;83;200;1,3;0;
2024/01/01;0300 UTC;0;929,7;929,8;929,5;1,7;24,3;21,1;24,3;23,1;21,3;20,1;84;83;83;297;2,8;1,6;
2024/01/01;0400 UTC;0;929;929,7;929;,1;23,7;20,6;24,3;23,6;21,1;20,4;83;81;83;253;2,5;,3;
2024/01/01;0500 UTC;0;928;929;928;;23,3;20,5;23,7;23,2;20,8;20,5;85;83;85;201;2,2;0;
2024/01/01;0600 UTC;0;927,4;928;927,4;,6;22,6;20,2;23,3;22,5;20,5;20,1;86;85;86;258;0;0;
2024/01/01;0700 UTC;0;927,4;927,5;927,3;2,7;22,6;20,6;22,6;22,1;20,6;19,9;88;86;88;136;0;0;
2024/01/01;0800 UTC;0;927,5;927,5;927,3;2,5;22,7;20,8;22,7;22,6;20,8;20,5;89;88;89;141;1,4;0;
2024/01/01;0900 UTC;0;928,5;928,5;927,5;5,6;22,9;21,1;23;22,7;21,2;20,8;90;89;90;114;1,9;,9;
2024/01/01;1000 UTC;,8;928,7;928,7;928,5;172,9;23,1;21,4;23,2;22,8;21,5;21,1;90;90;90;21;2,9;1,3;
2024/01/01;1100 UTC;0;929,1;929,1;928,7;787,7;24,2;22;24,4;23,1;22,3;21,3;90;87;88;93;4;2,2;
2024/01/01;1200 UTC;0;929,6;929,6;929,1;1314,3;25,3;22,3;25,7;24,1;22,8;21,8;88;83;83;88;4,2;2,3;
2024/01/01;1300 UTC;0;929,5;929,6;929,4;1545,5;25,4;21,1;27;25,3;23,5;21,1;84;77;77;6;5,7;1,8;
2024/01/01;1400 UTC;19,2;929,8;930,2;929,4;206,9;21,7;19,1;25,4;20,9;21,1;17;85;76;85;151;9,8;,1;
2024/01/01;1500 UTC;1,4;930;930;929,7;126,1;21,6;19,4;21,7;21,1;19,4;18,5;88;85;88;166;3,1;1,9;
2024/01/01;1600 UTC;3,8;929;930;929;152,5;21,5;19,7;21,6;21;19,7;18,9;89;87;89;195;3,3;,7;
2024/01/01;1700 UTC;2,6;927,1;929;927,1;305,4;21,9;20,2;21,9;21,5;20,2;19,6;90;89;90;151;2,7;,1;
2024/01/01;1800 UTC;,2;926,1;927,1;926,1;752,9;22,7;21,1;22,8;21,8;21,2;20,1;91;90;91;22;1,3;0;
2024/01/01;1900 UTC;0;925,8;926,1;925,7;1921,9;25,2;22,8;25,3;22,7;23,1;21,2;91;87;87;142;2,3;,9;
2024/01/01;2000 UTC;,2;925,6;925,8;925,5;1490;25;22;25,6;24,8;23,1;21,9;87;84;84;135;4,2;2,7;
2024/01/01;2100 UTC;0;925,3;925,6;925,3;723,4;24,4;21,1;25,5;24,2;22,5;21,1;84;82;82;135;4;1,8;
2024/01/01;2200 UTC;0;925,8;925,8;925,2;324,6;23,7;20;24,6;23,7;21,3;20;82;80;80;149;4,2;1,6;
2024/01/01;2300 UTC;0;926,8;926,8;925,8;1,3;22,8;19,8;23,7;22,8;20;19,6;83;80;83;319;3,3;0;
2024/01/02;0000 UTC;0;927,5;927,5;926,8;1;22,1;19,5;22,9;22,1;19,9;19,5;85;83;85;215;1,1;,3;
2024/01/02;0100 UTC;0;928,3;928,3;927,5;,8;21,9;19,7;22,3;21,8;19,9;19,4;87;85;87;229;0;0;
2024/01/02;0200 UTC;0;928,8;928,8;928,3;1,5;21,6;19,6;22;21,5;19,8;19,5;88;87;88;188;1,4;,2;
2024/01/02;0300 UTC;0;928,4;928,8;928,4;;22,1;20,3;22,2;21,6;20,3;19,6;89;88;89;329;1,2;,4;
2024/01/02;0400 UTC;0;927,6;928,4;927,6;,8;22,2;20,5;22,2;22;20,5;20,2;90;89;90;295;1,2;,2;
2024/01/02;0500 UTC;0;927,1;927,6;927;0;22;20,4;22,2;22;20,5;20,4;91;90;91;253;1;0;
2024/01/02;0600 UTC;0;926,6;927,1;926,5;;22;20,4;22,2;22;20,6;20,4;91;90;90;8;2,5;,9;
2024/01/02;0700 UTC;0;926,5;926,6;926,4;;22;20,4;22,2;22;20,5;20,3;91;90;91;29;2,5;,1;
2024/01/02;0800 UTC;0;926,6;926,6;926,4;,2;21,9;20,4;22,1;21,9;20,6;20,3;91;91;91;195;,9;0;
2024/01/02;0900 UTC;0;927,1;927,1;926,6;2,8;21,9;20,5;22,1;21,9;20,6;20,4;91;91;91;227;1,1;,3;
2024/01/02;1000 UTC;0;927,4;927,4;927,1;178,9;22,5;21,1;22,5;21,9;21,1;20,4;92;91;92;68;1,3;0;
2024/01/02;1100 UTC;0;927,7;927,7;927,4;778,7;23,5;21,5;23,6;22,3;21,8;20,8;92;88;88;12;2,6;1,1;
2024/01/02;1200 UTC;0;928;928;927,5;1094,7;24,3;21,6;24,5;23,2;22,2;21,1;88;85;85;25;3,4;1,6;
2024/01/02;1300 UTC;0;927,8;928;927,8;1936,7;25,6;21,8;26,3;24,3;23,3;21,5;86;79;79;336;4,5;2,3;
2024/01/02;1400 UTC;0;927,4;927,9;927,4;2535,2;26,9;20,9;27,7;25,6;23,2;20,6;80;70;70;21;4,9;2,6;
2024/01/02;1500 UTC;0;926,8;927,4;926,7;1726,8;27,1;21,3;27,2;26;21,3;19,8;72;67;71;11;5,1;1,9;
