REGIAO:;CO
UF:;MT
ESTACAO:;ROSARIO OESTE
CODIGO (WMO):;A944
LATITUDE:;-14,82888888
LONGITUDE:;-56,44194444
ALTITUDE:;195
DATA DE FUNDACAO:;30/05/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;987,2;987,2;986;;27,1;23;28;27,1;23,4;22,7;78;74;78;310;2,6;,5;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0400 UTC;0;988,4;989;988,4;;26,4;24,1;26,5;26,2;24,1;23,7;87;86;87;61;1,3;,5;
2024/01/01;0500 UTC;0;987,6;988,4;987,6;;26,2;24;26,4;26,1;24,1;23,6;88;86;88;76;1,3;,6;
2024/01/01;0600 UTC;0;987,3;987,6;987,3;;25,8;23,6;26,2;25,8;24;23,2;88;85;88;259;2,6;,3;
2024/01/01;0700 UTC;0;987,4;987,4;987,3;;26,3;22,7;26,3;25,6;23,8;22,7;88;81;81;315;3,1;1,3;
2024/01/01;0800 UTC;0;987,7;987,8;987,3;;25,8;22,5;26,5;25,8;22,8;22,5;82;80;82;283;5,4;2,3;
2024/01/01;0900 UTC;2,4;988;988;987,6;;25,1;22,9;25,8;25,1;23;22,6;88;82;88;304;4,4;,7;
2024/01/01;1000 UTC;3,4;988,4;988,4;988;15,5;24,9;23,2;25,1;24,9;23,2;22,8;90;88;90;63;1,7;,7;
2024/01/01;1100 UTC;,4;988,9;988,9;988,4;229,8;25,3;23,5;25,3;24,9;23,7;23,2;91;90;90;72;1,6;,3;
2024/01/01;1200 UTC;0;989,5;989,5;988,9;530,4;25,8;23,6;26;25,3;23,9;23,3;90;87;87;61;2,3;,9;
2024/01/01;1300 UTC;,2;990,2;990,2;989,5;739,2;26,3;23,1;26,5;25,8;24,2;23,1;88;83;83;11;3;1,1;
2024/01/01;1400 UTC;0;989,9;990,3;989,9;1345,8;27,2;22,8;27,3;26,3;23,5;22,8;83;76;77;34;3,7;1,5;
2024/01/01;1500 UTC;0;988,9;989,9;988,9;1167,3;28,3;23,7;28,3;27,2;23,7;22,7;78;75;76;297;3,8;1,4;
2024/01/01;1600 UTC;0;987,4;988,9;987,4;3631,9;30,3;23,5;30,9;28,3;24;22,7;77;62;67;289;5,4;2,8;
2024/01/01;1700 UTC;0;986,6;987,4;986,6;1860,8;27,3;22,8;31,1;27,3;23,7;22,3;76;62;76;226;8,1;2,4;
2024/01/01;1800 UTC;0;985,7;987;985,7;646,4;27,3;23,5;27,3;27,1;23,5;22,8;80;76;80;258;5,7;,5;
2024/01/01;1900 UTC;0;984,9;985,7;984,9;980,9;28,4;23,9;28,4;27,3;24,2;23,3;81;76;76;158;1,6;,6;
2024/01/01;2000 UTC;0;985,1;985,2;984,9;911,2;29,3;24,7;29,3;28,4;24,9;23,8;78;74;76;78;2,4;,5;
2024/01/01;2100 UTC;6,8;985,6;985,7;985,1;300,7;26,1;23;29,5;26;25;22,3;83;70;83;323;10,1;1,1;
2024/01/01;2200 UTC;0;986,8;986,8;985,6;51;25,7;23,5;26,1;25,7;23,7;22,9;88;83;88;277;3,3;1;
2024/01/01;2300 UTC;0;987,5;987,5;986,8;;25,3;23,2;26;25,3;23,9;23,2;89;87;88;106;2,5;,4;
2024/01/02;0000 UTC;,2;988,3;988,4;987,5;;24,9;23;25,4;24,9;23,3;22,9;89;88;89;17;2;,1;
