REGIAO:;NE
UF:;MA
ESTACAO:;IMPERATRIZ
CODIGO (WMO):;A225
LATITUDE:;-5,55583333
LONGITUDE:;-47,45972222
ALTITUDE:;117,96
DATA DE FUNDACAO:;01/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;999,2;999,3;998,8;;27,2;22,1;27,5;27,2;22,1;22;74;73;74;;;;
2024/01/01;0100 UTC;0;1000,5;1000,5;999,3;;26,9;22,1;27,2;26,3;22,1;21,4;75;74;75;;;;
2024/01/01;0200 UTC;0;1000,5;1000,6;1000,5;;25,9;21,4;26,9;25,6;22,2;20,9;76;75;76;;;;
2024/01/01;0300 UTC;0;1000,2;1000,6;1000,2;;25,8;21,8;26;25,5;21,8;21,1;79;76;79;;;;
2024/01/01;0400 UTC;0;999,1;1000,2;999,1;;25,8;22;26,1;25,8;22,2;21,8;80;79;80;;;;
2024/01/01;0500 UTC;0;998,5;999,1;998,4;;24,6;21,2;25,8;24,5;22;21;81;80;81;;;;
2024/01/01;0600 UTC;0;998,1;998,5;998,1;;25,1;21,9;25,1;24,6;21,9;21,3;82;81;82;;;;
2024/01/01;0700 UTC;0;998,1;998,1;997,9;;25,1;22,1;25,3;24,4;22,1;21,3;83;82;83;;;;
2024/01/01;0800 UTC;0;998,2;998,2;998;;24,7;21,9;25,1;24,7;22,1;21,9;84;83;84;;;;
2024/01/01;0900 UTC;0;998,5;998,5;998,2;;24,5;21,7;24,7;24,5;21,9;21,7;85;84;85;;;;
2024/01/01;1000 UTC;0;999,1;999,1;998,5;97,8;24,7;22;24,7;23,9;22;21,2;85;85;85;;;;
2024/01/01;1100 UTC;0;999,7;999,7;999,1;406,6;26,2;23,3;26,2;24,7;23,3;22;85;84;84;;;;
2024/01/01;1200 UTC;0;999,5;999,7;999,5;1765,6;29;24,9;29;26,2;25;23,3;84;78;79;;;;
2024/01/01;1300 UTC;0;999,8;999,8;999,5;2374,6;30,2;24,2;30,8;28,7;25,2;24,1;79;70;70;;;;
2024/01/01;1400 UTC;0;999,3;999,9;999,3;2314,5;32,4;24,8;32,8;29,6;25,6;23,3;70;64;65;;;;
2024/01/01;1500 UTC;0;998,6;999,3;998,6;2448;33,1;23,8;33,6;31,5;25,2;23,1;65;58;58;;;;
2024/01/01;1600 UTC;0;997,4;998,6;997,4;2115,5;32,5;21,9;34,2;31,9;24,6;21,8;58;53;54;;;;
2024/01/01;1700 UTC;0;996,2;997,4;996,2;1333,4;33;21,8;33,2;31,6;22,3;21,1;54;52;52;;;;
2024/01/01;1800 UTC;0;995,3;996,2;995,2;633,8;28,9;20,3;33;28,9;21,6;19,7;60;51;60;;;;
2024/01/01;1900 UTC;2,2;995,2;995,6;995,1;207,4;25,6;19,8;29,1;25,6;20,9;18,9;70;60;70;;;;
2024/01/01;2000 UTC;1;995,5;995,5;994,8;147,4;25,5;21,1;25,7;24,8;21,2;19,4;77;70;77;;;;
2024/01/01;2100 UTC;0;995,8;995,8;995,5;73,6;26;22,1;26;25,3;22,2;21;80;77;79;;;;
2024/01/01;2200 UTC;0;996,2;996,2;995,7;9,2;25,5;21,9;26;25,3;22,1;21,7;81;79;81;;;;
2024/01/01;2300 UTC;0;996,8;996,8;996,2;;25,1;21,8;25,5;24,9;22,1;21,6;82;81;82;;;;
2024/01/02;0000 UTC;0;998;998;996,8;;25,4;22,4;25,6;25,1;22,6;21,9;84;82;84;;;;
2024/01/02;0100 UTC;0;998,5;998,5;997,9;;25,5;22,6;25,6;25,2;22,7;22,2;84;83;84;;;;
2024/01/02;0200 UTC;0;998,6;998,7;998,4;;25,7;22,9;25,7;25,3;22,9;22,4;85;84;85;;;;
2024/01/02;0300 UTC;0;998,5;998,9;998,5;;25,4;22,7;25,8;25,4;23;22,7;85;85;85;;;;
2024/01/02;0400 UTC;0;998;998,5;997,9;;26;23,3;26;25,1;23,3;22,4;86;85;85;;;;
2024/01/02;0500 UTC;0;997,8;998;997,8;2,7;25,4;22,4;26;25,4;23,3;22,4;85;83;84;;;;
2024/01/02;0600 UTC;0;997,5;997,8;997,5;;24,5;21,8;25,4;24,5;22,4;21,7;85;83;85;;;;
2024/01/02;0700 UTC;0;997,3;997,6;997,3;;24,3;21,7;24,5;24,3;21,8;21,7;85;85;85;;;;
2024/01/02;0800 UTC;0;997,5;997,5;997,3;;24;21,5;24,3;24;21,7;21,4;86;85;86;;;;
2024/01/02;0900 UTC;0;997,4;997,5;997,1;;23,4;21;24,1;23,4;21,5;20,9;86;85;86;;;;
2024/01/02;1000 UTC;0;998,1;998,1;997,4;82,7;23,8;21,4;23,9;23,3;21,4;20,8;86;86;86;;;;
2024/01/02;1100 UTC;0;999,2;999,2;998,1;505,9;25,3;22,7;25,3;23,8;22,7;21,4;86;86;86;;;;
2024/01/02;1200 UTC;0;1000;1000;999,2;904,3;26,2;23,1;26,3;25,3;23,2;22,5;86;83;83;;;;
2024/01/02;1300 UTC;0;1000,5;1000,5;1000;676,4;26,5;22,9;26,6;26,1;23,2;22,9;83;81;81;;;;
2024/01/02;1400 UTC;0;1000,4;1000,6;1000,4;305,2;26;22,4;26,6;26;22,9;22,4;81;80;81;;;;
2024/01/02;1500 UTC;1,2;1000;1000,4;1000;286,7;25,1;21,9;26,2;25;22,6;21,7;82;81;82;;;;
2024/01/02;1600 UTC;6,2;999,2;1000;999,2;348,7;23,9;21,1;25,1;23,5;22;20,5;85;82;84;;;;
