REGIAO:;N
UF:;PA
ESTACAO:;SANTAREM
CODIGO (WMO):;A250
LATITUDE:;-2,5025
LONGITUDE:;-54,72027777
ALTITUDE:;137
DATA DE FUNDACAO:;02/09/15
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;994,8;994,8;994,1;;27,2;23,8;27,9;27,2;24,2;23,8;82;80;82;189;,7;,2;
2024/01/01;0100 UTC;;995,5;995,5;994,8;;26,8;23,6;27,2;26,8;23,8;23,5;83;81;83;223;1,4;,4;
2024/01/01;0200 UTC;;995,5;995,6;995,5;;27,1;23,9;27,2;26,8;23,9;23,4;83;80;83;254;2,5;,6;
2024/01/01;0300 UTC;;995,4;995,5;995,4;;27,5;23,1;27,5;26,9;24,2;23;85;77;77;135;3,5;1,3;
2024/01/01;0400 UTC;;994,9;995,4;994,9;;27,7;22,5;27,7;27,5;23,1;22,4;77;73;73;148;4,2;1,3;
2024/01/01;0500 UTC;;994,5;994,9;994,5;;27,2;22,8;27,7;27,2;22,9;22,4;77;73;77;154;3,2;1,1;
2024/01/01;0600 UTC;;994,3;994,5;994,3;;27,1;22,6;27,3;27,1;22,8;22,6;77;76;77;126;2,8;,9;
2024/01/01;0700 UTC;;993,9;994,3;993,9;;26,9;22,8;27,1;26,9;22,8;22,5;78;76;78;147;3,3;,9;
2024/01/01;0800 UTC;;993,5;993,9;993,5;;26,5;23,1;26,9;26,5;23,1;22,7;82;78;82;173;3,1;,4;
2024/01/01;0900 UTC;;994,2;994,2;993,5;;25,9;24;26,5;25,8;24,1;23,1;90;82;90;143;1,9;,7;
