REGIAO:;N
UF:;TO
ESTACAO:;PEDRO AFONSO
CODIGO (WMO):;A020
LATITUDE:;-8,9686111
LONGITUDE:;-48,17722221
ALTITUDE:;189,71
DATA DE FUNDACAO:;23/01/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;,4;991,4;991,4;990,8;;23,7;22,6;23,8;23,7;22,8;22,6;94;93;94;59;3,8;,1;
2024/01/01;0100 UTC;,2;991,7;991,7;991,4;;23,7;22,7;23,8;23,7;22,8;22,6;94;94;94;48;2,1;,6;
2024/01/01;0200 UTC;,2;992,1;992,1;991,7;;23,8;22,8;23,9;23,7;22,9;22,7;94;94;94;50;1,9;0;
2024/01/01;0300 UTC;0;992,4;992,4;991,9;;23,8;22,8;23,9;23,8;22,9;22,8;94;94;94;48;1,9;,6;
2024/01/01;0400 UTC;,2;992,1;992,4;992,1;;23,8;22,7;23,8;23,7;22,9;22,7;94;94;94;35;2,6;,2;
2024/01/01;0500 UTC;,8;991,3;992,1;991,3;;23,8;22,7;23,9;23,7;22,9;22,7;94;94;94;46;1,4;,6;
2024/01/01;0600 UTC;0;990,7;991,3;990,7;;24,2;23,2;24,2;23,8;23,2;22,7;94;94;94;54;1,3;0;
2024/01/01;0700 UTC;,2;990,1;990,7;990,1;;24;23,1;24,2;24;23,2;23;95;94;95;36;1;0;
2024/01/01;0800 UTC;0;990;990,1;990;;23,9;23;24;23,9;23,1;23;95;94;95;32;2,1;,6;
2024/01/01;0900 UTC;0;990,1;990,1;990;8,5;23,8;22,9;23,9;23,8;23;22,9;95;95;95;41;2,4;,2;
2024/01/01;1000 UTC;0;990,5;990,5;990,1;145,7;24,5;23,5;24,5;23,8;23,5;22,9;95;95;95;112;1,8;0;
2024/01/01;1100 UTC;0;991,3;991,3;990,5;567,3;25,6;24;25,6;24,4;24,1;23,5;95;91;91;325;1,6;,3;
2024/01/01;1200 UTC;0;991,8;991,8;991,3;1542,8;27,3;23,9;27,3;25,6;24,6;23,3;91;81;82;330;2,6;1,1;
2024/01/01;1300 UTC;0;992,2;992,2;991,8;1734,2;27,9;23,4;28,1;27,3;24,3;23;82;76;77;338;4,8;2,1;
2024/01/01;1400 UTC;0;991,6;992,2;991,6;2777;30;23,6;30,4;27,8;25,2;23,2;79;68;69;351;4,8;,8;
2024/01/01;1500 UTC;0;990,6;991,6;990,6;3576,8;31,3;23,6;31,5;29,7;25;22,9;72;63;64;14;3,7;1,2;
2024/01/01;1600 UTC;0;989,1;990,6;989,1;2736,7;31,4;24,1;32,2;31,2;24,9;22,7;68;59;65;289;5,1;1,2;
2024/01/01;1700 UTC;0;987,9;989,1;987,9;2855,7;33,2;24;33,6;31;24,7;21,9;66;55;59;291;5,3;1,5;
2024/01/01;1800 UTC;0;987,2;987,9;987,1;3010,2;31,6;24,4;33,5;31,5;24,8;21,2;68;50;66;248;4,5;1,9;
2024/01/01;1900 UTC;0;987,1;987,3;987;2003;30,5;22,8;31,9;30,1;24,4;22,8;68;61;64;52;6,1;2;
2024/01/01;2000 UTC;0;987,1;987,2;987;805,5;29,2;22,7;30,8;29,2;23,8;22,5;69;63;68;21;4,3;1,9;
2024/01/01;2100 UTC;0;987,7;987,7;987,1;380,1;28,4;23,9;29,6;28,3;23,9;22,6;77;67;77;254;4,3;,7;
2024/01/01;2200 UTC;0;989,3;989,3;987,7;11,7;27,5;22,9;28,4;27,5;23,6;22,8;78;73;76;326;5,7;2,2;
2024/01/01;2300 UTC;0;990;990,1;989,3;;26,1;22,9;27,5;26,1;23,2;22,8;83;76;83;309;5,7;1,4;
2024/01/02;0000 UTC;,2;990,3;990,4;990;;25;23,3;26,1;25;23,4;22,9;91;83;90;322;3,7;,3;
2024/01/02;0100 UTC;0;990,8;990,8;990,3;;25;23,4;25,1;24,9;23,5;23,3;91;90;91;345;2,5;,2;
2024/01/02;0200 UTC;0;991,2;991,2;990,8;;25,1;23,4;25,1;24,9;23,4;23,3;91;90;90;201;1,6;0;
2024/01/02;0300 UTC;0;990,8;991,2;990,7;;25;23,2;25,2;24,9;23,6;23,2;91;89;90;184;2,4;,6;
2024/01/02;0400 UTC;0;990,2;991;990,2;;24,7;23,2;25,1;24,7;23,3;23;91;88;91;246;3,4;,8;
2024/01/02;0500 UTC;0;989,8;990,2;989,7;;24,7;23;24,8;24,7;23,2;22,9;91;89;90;260;2,7;1;
2024/01/02;0600 UTC;,4;989,5;989,9;989,5;;24,4;22,9;24,7;24,4;23,1;22,7;92;90;91;292;4,2;,4;
2024/01/02;0700 UTC;0;989;989,5;988,9;;24,3;22,9;24,5;24,2;23;22,7;92;91;92;212;2;,5;
2024/01/02;0800 UTC;0;989,8;989,8;989;;24,2;22,9;24,3;24,1;22,9;22,8;92;92;92;28;1,8;0;
2024/01/02;0900 UTC;0;990,1;990,2;989,8;2,8;24,3;22,9;24,4;24,2;23;22,8;92;91;92;83;0;0;
2024/01/02;1000 UTC;0;990,8;990,8;990,1;203,9;24,9;22,9;24,9;24,2;23,1;22,8;92;89;89;11;1,1;0;
2024/01/02;1100 UTC;0;991,4;991,4;990,8;1106,1;26,6;22,6;26,8;24,9;23,4;22,6;89;78;79;250;2,7;1;
2024/01/02;1200 UTC;0;991,9;991,9;991,3;1139,9;26,9;22,7;26,9;26,3;22,9;22,3;81;76;78;239;2,7;,3;
2024/01/02;1300 UTC;0;991,9;992,2;991,9;1659,8;28,7;23,2;28,7;26,9;23,3;22,3;79;70;72;304;2,1;,5;
2024/01/02;1400 UTC;,2;991,5;991,9;991,4;1840,1;26,6;23,2;29;26,6;23,7;22,3;81;71;81;273;4,3;1,8;
2024/01/02;1500 UTC;16;991,2;991,6;991,2;335,8;24;23;26,6;23,7;23,7;22,5;94;81;94;226;8,7;,2;
2024/01/02;1600 UTC;,4;990,4;991,2;990,4;551,1;25,1;23,2;25,1;23,8;23,4;22,7;94;89;89;9;2,4;,5;
