,precip_total_sum_mm,temp_mean_c,temp_max_c,temp_min_c
2024-01-01,5.3999999999999995,26.945833333333336,29.5,25.6
2024-01-02,33.0,26.583333333333332,30.7,24.6
2024-01-03,53.199999999999996,25.724999999999998,32.0,23.7
2024-01-04,8.8,27.125,33.4,24.4
2024-01-05,16.200000000000003,27.054166666666664,32.5,24.6
2024-01-06,0.2,27.8875,34.1,25.0
2024-01-07,106.6,26.808333333333334,31.7,23.3
2024-01-08,0.8,27.141666666666666,33.5,24.5
2024-01-09,17.0,27.241666666666664,33.2,23.9
2024-01-10,7.800000000000001,27.829166666666666,34.4,24.6
2024-01-11,12.8,27.758333333333336,33.1,24.7
2024-01-12,24.0,24.650000000000002,26.5,22.5
2024-01-13,3.8,25.733333333333334,29.4,24.2
2024-01-14,20.6,26.520833333333332,32.9,23.6
2024-01-15,1.4,27.016666666666666,34.3,23.4
2024-01-16,8.6,26.425,34.1,23.9
2024-01-17,0.2,28.5,35.0,23.8
2024-01-18,13.2,28.224999999999998,34.9,24.3
2024-01-19,15.4,27.675,33.1,24.2
2024-01-20,27.0,27.545833333333334,32.4,24.7
2024-01-21,14.2,27.754166666666666,33.6,24.1
2024-01-22,6.0,27.34583333333333,33.2,24.5
2024-01-23,17.400000000000002,27.45,33.4,24.9
2024-01-24,12.4,27.462500000000002,33.1,25.0
2024-01-25,45.0,27.504166666666666,34.4,24.4
2024-01-26,0.2,27.625,32.9,25.1
2024-01-27,8.0,27.829166666666666,33.9,25.3
2024-01-28,10.399999999999999,27.441666666666666,34.2,25.1
2024-01-29,14.2,26.891666666666666,33.2,24.3
2024-01-30,2.4,26.541666666666668,33.2,23.1
2024-01-31,31.8,27.625,34.1,24.9
2024-02-01,29.2,27.308333333333334,33.0,25.5
2024-02-02,25.8,25.7625,29.8,23.7
2024-02-03,29.4,27.170833333333334,34.3,22.6
2024-02-04,1.2000000000000002,28.016666666666666,34.3,24.4
2024-02-05,3.0,28.775000000000002,34.6,25.3
2024-02-06,10.2,27.245833333333334,33.7,24.7
2024-02-07,5.8,26.900000000000002,34.4,24.1
2024-02-08,22.0,27.445833333333336,33.6,24.6
