,count,mean,std,min,25%,50%,75%,max
precipita_o_total_hor_rio_mm,8784.0,0.3625,2.347160355172414,0.0,0.0,0.0,0.0,57.0
pressao_atmosferica_ao_nivel_da_estacao_horaria_mb,8784.0,1008.877413479053,1.8509315819553733,1002.9,1007.6,1008.9,1010.2,1014.3
press_o_atmosferica_max_na_hora_ant_aut_mb,8781.0,1009.1674410659379,1.81690873049186,1003.4,1007.9,1009.2,1010.4,1014.3
press_o_atmosferica_min_na_hora_ant_aut_mb,8781.0,1008.5845006263523,1.8569490413189627,1002.8,1007.3,1008.6,1009.9,1014.2
radiacao_global_kj_m,8784.0,720.671618852459,1024.2078394793398,0.0,0.0,24.0,1434.075,3700.1
temperatura_do_ar_bulbo_seco_horaria_c,8784.0,27.88285519125683,3.141732951384006,22.3,25.3,26.8,30.5,37.1
temperatura_do_ponto_de_orvalho_c,8784.0,24.23665755919854,1.11885684135195,17.4,23.5,24.3,25.0,28.2
temperatura_m_xima_na_hora_ant_aut_c,8781.0,28.506912652317506,3.469621670046735,22.7,25.5,27.3,31.6,38.1
temperatura_m_nima_na_hora_ant_aut_c,8781.0,27.299521694567822,2.791138719602353,22.1,25.0,26.3,29.4,35.3
temperatura_orvalho_max_na_hora_ant_aut_c,8781.0,24.702129597995672,1.2115498732100711,17.8,23.9,24.7,25.5,28.6
temperatura_orvalho_min_na_hora_ant_aut_c,8781.0,23.80245985650837,1.1125473482847066,16.6,23.2,23.9,24.6,26.5
umidade_rel_max_na_hora_ant_aut,8781.0,84.8463728504726,12.784608471850303,40.0,76.0,89.0,96.0,99.0
umidade_rel_min_na_hora_ant_aut,8781.0,79.3061154765972,15.678653572888376,33.0,67.0,83.0,94.0,99.0
umidade_relativa_do_ar_horaria,8784.0,82.15630692167578,14.32015635835755,36.0,71.0,86.0,95.0,99.0
vento_dire_o_horaria_gr_gr,8783.0,234.39895252191735,37.85156627239986,180.0,205.0,231.0,253.0,354.0
vento_rajada_maxima_m_s,8780.0,4.347756264236902,2.2187626275684926,0.0,2.7,4.4,5.9,19.3
vento_velocidade_horaria_m_s,8783.0,1.2610952977342595,0.8993264175919141,0.0,0.5,1.2,1.9,5.2
